video,atlet,arah_kamera,jarak,cahaya,baju,kedalaman,rep_asli,total_reps,error_absolut,akurasi_persentase,status_akurasi
A1_backlit_t1.mp4,A1,serong,2m,backlit,pas,penuh,10,10,0,100%,Sempurna
A1_backlit-loose_t1.mp4,A1,serong,2m,backlit,longgar,penuh,10,10,0,100%,Sempurna
A1_base_t1.mp4,A1,serong,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A1_base-end_t1.mp4,A1,serong,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A1_diag-1m_t1.mp4,A1,serong,1m,normal,pas,penuh,10,7,3,70%,Cukup
A1_dim_t1.mp4,A1,serong,2m,redup,pas,penuh,10,10,0,100%,Sempurna
A1_dim-loose_t1.mp4,A1,serong,2m,redup,longgar,penuh,10,10,0,100%,Sempurna
A1_front-1m_t1.mp4,A1,depan,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A1_front-2m_t1.mp4,A1,depan,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A1_loose_t1.mp4,A1,serong,2m,normal,longgar,penuh,10,10,0,100%,Sempurna
A1_parallel_t1.mp4,A1,serong,2m,normal,pas,parallel,10,9,1,90%,Baik
A1_partial_t1.mp4,A1,serong,2m,normal,pas,partial,10,0,10,0%,Buruk
A1_side-1m_t1.mp4,A1,samping,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A1_side-2m_t1.mp4,A1,samping,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A2_backlit_t1.mp4,A2,serong,2m,backlit,pas,penuh,10,10,0,100%,Sempurna
A2_backlit-loose_t1.mp4,A2,serong,2m,backlit,longgar,penuh,10,10,0,100%,Sempurna
A2_base_t1.mp4,A2,serong,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A2_base-end_t1.mp4,A2,serong,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A2_diag-1m_t1.mp4,A2,serong,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A2_dim_t1.mp4,A2,serong,2m,redup,pas,penuh,10,10,0,100%,Sempurna
A2_dim-loose_t1.mp4,A2,serong,2m,redup,longgar,penuh,10,10,0,100%,Sempurna
A2_front-1m_t1.mp4,A2,depan,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A2_front-2m_t1.mp4,A2,depan,2m,normal,pas,penuh,10,4,6,40%,Buruk
A2_loose_t1.mp4,A2,serong,2m,normal,longgar,penuh,10,10,0,100%,Sempurna
A2_parallel_t1.mp4,A2,serong,2m,normal,pas,parallel,10,10,0,100%,Sempurna
A2_partial_t1.mp4,A2,serong,2m,normal,pas,partial,10,9,1,90%,Baik
A2_side-1m_t1.mp4,A2,samping,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A2_side-2m_t1.mp4,A2,samping,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A3_backlit_t1.mp4,A3,serong,2m,backlit,pas,penuh,10,10,0,100%,Sempurna
A3_backlit-loose_t1.mp4,A3,serong,2m,backlit,longgar,penuh,10,10,0,100%,Sempurna
A3_base_t1.mp4,A3,serong,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A3_base-end_t1.mp4,A3,serong,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A3_diag-1m_t1.mp4,A3,serong,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A3_dim_t1.mp4,A3,serong,2m,redup,pas,penuh,10,10,0,100%,Sempurna
A3_dim-loose_t1.mp4,A3,serong,2m,redup,longgar,penuh,10,10,0,100%,Sempurna
A3_front-1m_t1.mp4,A3,depan,1m,normal,pas,penuh,10,3,7,30%,Buruk
A3_front-2m_t1.mp4,A3,depan,2m,normal,pas,penuh,10,2,8,20%,Buruk
A3_loose_t1.mp4,A3,serong,2m,normal,longgar,penuh,10,10,0,100%,Sempurna
A3_parallel_t1.mp4,A3,serong,2m,normal,pas,parallel,10,10,0,100%,Sempurna
A3_partial_t1.mp4,A3,serong,2m,normal,pas,partial,10,8,2,80%,Baik
A3_side-1m_t1.mp4,A3,samping,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A3_side-2m_t1.mp4,A3,samping,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A4_backlit_t1.mp4,A4,serong,2m,backlit,pas,penuh,10,9,1,90%,Baik
A4_backlit-loose_t1.mp4,A4,serong,2m,backlit,longgar,penuh,10,1,9,10%,Buruk
A4_base_t1.mp4,A4,serong,2m,normal,pas,penuh,10,9,1,90%,Baik
A4_base-end_t1.mp4,A4,serong,2m,normal,pas,penuh,10,2,8,20%,Buruk
A4_diag-1m_t1.mp4,A4,serong,1m,normal,pas,penuh,10,9,1,90%,Baik
A4_dim_t1.mp4,A4,serong,2m,redup,pas,penuh,10,10,0,100%,Sempurna
A4_dim-loose_t1.mp4,A4,serong,2m,redup,longgar,penuh,10,1,9,10%,Buruk
A4_front-1m_t1.mp4,A4,depan,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A4_front-2m_t1.mp4,A4,depan,2m,normal,pas,penuh,10,10,0,100%,Sempurna
A4_loose_t1.mp4,A4,serong,2m,normal,longgar,penuh,10,1,9,10%,Buruk
A4_parallel_t1.mp4,A4,serong,2m,normal,pas,parallel,10,6,4,60%,Cukup
A4_partial_t1.mp4,A4,serong,2m,normal,pas,partial,10,0,10,0%,Buruk
A4_side-1m_t1.mp4,A4,samping,1m,normal,pas,penuh,10,10,0,100%,Sempurna
A4_side-2m_t1.mp4,A4,samping,2m,normal,pas,penuh,10,12,2,80%,Baik