video,path,status,frames,pose_frames,duration_sec,fps,calibration_angle,total_reps,full_reps,partial_reps,paused_frames,mean_depth_angle,min_depth_angle,error
A1_backlit_t1.mp4,,ok,920,920,"30,667",30,175.529,10,10,0,0,"22,549","30,31",
A1_backlit-loose_t1.mp4,,ok,1096,1096,"36,533",30,170.867,10,10,0,26,"60,543","52,305",
A1_base_t1.mp4,,ok,1123,1122,"37,433",30,"172,2",10,9,1,0,"30,825","12,1",
A1_base-end_t1.mp4,,ok,1203,1203,"40,1",30,"172,2",10,10,0,0,"29,271","12,1",
A1_diag-1m_t1.mp4,,ok,1054,442,"35,133",30,171.569,7,6,1,17,"38,334","17,25",
A1_dim_t1.mp4,,ok,963,960,"32,1",30,"171,05",10,10,0,1,"34,277","9,16",
A1_dim-loose_t1.mp4,,ok,1096,1096,"36,533",30,172.024,10,10,0,16,"47,894","39,936",
A1_front-1m_t1.mp4,,ok,1128,1121,"37,6",30,174.797,10,10,0,6,"27,257","17,985",
A1_front-2m_t1.mp4,,ok,1138,1138,"37,933",30,173.259,10,10,0,0,"31,239",19.945,
A1_loose_t1.mp4,,ok,1096,1096,"36,533",30,173.236,10,10,0,5,"58,371","48,12",
A1_parallel_t1.mp4,,ok,1096,1096,"36,533",30,171.602,9,9,0,24,"31,323","49,4",
A1_partial_t1.mp4,,ok,1387,1386,"46,233",30,175.001,0,0,0,42,,,
A1_side-1m_t1.mp4,,ok,1450,1373,"48,333",30,"170,95",10,10,0,21,"45,716","39,068",
A1_side-2m_t1.mp4,,ok,1450,1390,"48,333",30,172.922,10,10,0,7,"43,515","31,303",
A2_backlit_t1.mp4,,ok,668,637,"42,672","25,654","176,543",10,10,0,7,"46,707","43,026",
A2_backlit-loose_t1.mp4,,ok,698,691,"39,509","27,667","172,732",10,10,0,10,"55,426","48,987",
A2_base_t1.mp4,,ok,623,602,"31,802","29,59","176,109",10,10,0,10,"41,585","36,535",
A2_base-end_t1.mp4,,ok,781,773,"39,493","29,776","174,558",10,10,0,27,"42,557","35,114",
A2_diag-1m_t1.mp4,,ok,626,607,"32,526","29,246","173,412",10,10,0,9,"37,778","32,017",
A2_dim_t1.mp4,,ok,611,601,"40,657","25,028","143,562",10,10,0,16,"44,647","39,377",
A2_dim-loose_t1.mp4,,ok,449,404,"29,878","25,028","167,257",10,10,0,32,"34,338","27,608",
A2_front-1m_t1.mp4,,ok,601,580,"31,888","28,847","174,834",10,9,1,7,"58,482","42,346",
A2_front-2m_t1.mp4,,ok,580,556,"30,453","29,045","172,847",4,2,2,14,"71,748","27,772",
A2_loose_t1.mp4,,ok,736,713,"37,438","29,659","172,534",10,10,0,24,"41,716","39,387",
A2_parallel_t1.mp4,,ok,688,665,"34,64","29,862","167,959",10,10,0,10,"62,847","52,73",
A2_partial_t1.mp4,,ok,538,486,"27,206","29,775","164,254",9,0,9,19,"96,537","93,951",
A2_side-1m_t1.mp4,,ok,469,454,"23,762","29,738","173,533",10,10,0,13,"46,671","41,303",
A2_side-2m_t1.mp4,,ok,628,594,"31,709","29,805","158,499",10,10,0,15,"43,787","39,516",
A3_backlit_t1.mp4,,ok,677,677,"23,344","29,001","173,011",10,10,0,0,"31,65","26,314",
A3_backlit-loose_t1.mp4,,ok,615,615,"21,206","29,001","172,241",10,10,0,0,"46,553","40,665",
A3_base_t1.mp4,,ok,653,653,"22,518","28,999","168,58",10,10,0,3,"42,158","38,629",
A3_base-end_t1.mp4,,ok,602,602,"20,758","29,001","169,263",10,10,0,0,"34,546","31,087",
A3_diag-1m_t1.mp4,,ok,636,636,"21,932","28,999","169,768",10,10,0,75,"53,178","46,334",
A3_dim_t1.mp4,,ok,601,601,"20,725","28,999","171,712",10,10,0,1,"49,331","46,306",
A3_dim-loose_t1.mp4,,ok,703,703,"24,242","28,999","170,654",10,10,0,2,"22,296","12,39",
A3_front-1m_t1.mp4,,ok,630,630,"21,725","28,999","175,437",3,3,0,80,"55,258","37,657",
A3_front-2m_t1.mp4,,ok,627,627,"21,62","29,001","174,324",2,0,2,0,"97,27","95,809",
A3_loose_t1.mp4,,ok,604,604,"20,827","29,001","171,596",10,10,0,10,"47,292","37,263",
A3_parallel_t1.mp4,,ok,867,867,"29,896","29,001","167,43",10,10,0,0,"61,418","56,636",
A3_partial_t1.mp4,,ok,915,915,"31,551","29,001","171,199",8,2,6,0,"93,226","88,507",
A3_side-1m_t1.mp4,,ok,607,607,"20,233",30,"169,139",10,10,0,90,"47,669","42,353",
A3_side-2m_t1.mp4,,ok,646,646,"21,533",30,"167,086",10,10,0,13,"33,568","31,291",
A4_backlit_t1.mp4,,ok,678,628,"27,12",25,"173,803",9,5,4,0,"87,775","74,179",
A4_backlit-loose_t1.mp4,,ok,566,507,"22,64",25,"173,555",1,0,1,1,"92,799","92,799",
A4_base_t1.mp4,,ok,753,753,"25,1",30,"174,026",9,5,4,0,"88,934","81,737",
A4_base-end_t1.mp4,,ok,578,521,"19,267",30,"173,168",2,1,1,0,"91,532","87,509",
A4_diag-1m_t1.mp4,,ok,694,594,"23,133",30,"170,082",9,6,3,5,"88,639","82,698",
A4_dim_t1.mp4,,ok,607,516,"20,233",30,"170,212",10,9,1,0,"78,12","70,194",
A4_dim-loose_t1.mp4,,ok,605,549,"20,167",30,"172,373",1,1,0,2,"78,677","78,677",
A4_front-1m_t1.mp4,,ok,641,639,"21,367",30,"171,629",10,9,1,13,"77,36","65,071",
A4_front-2m_t1.mp4,,ok,707,707,"23,567",30,"173,485",10,9,1,0,"79,679","75,844",
A4_loose_t1.mp4,,ok,619,603,"20,633",30,"173,187",1,1,0,1,"83,146","83,146",
A4_parallel_t1.mp4,,ok,634,634,"21,862",29,"171,327",6,1,5,0,"94,802","89,887",
A4_partial_t1.mp4,,ok,604,604,"20,133",30,"170,686",0,0,0,0,,,
A4_side-1m_t1.mp4,,ok,668,664,"22,267",30,"153,691",10,10,0,0,"66,5","63,342",
A4_side-2m_t1.mp4,,ok,765,761,"25,5",30,"161,841",12,10,2,0,"66,117","44,355",